"","x"
"ALS10",25220514.543
"ALS1",25187553.208
"ALS2",38764522.547
"ALS3",63634154.562
"ALS4",74115180.699
"ALS5",60481690.61
"ALS6",32794838.658
"ALS7",31973973.435
"ALS8",51392915.67
"ALS9",19560630.461
"BDGS1",30788655.704
"BDGS2",39424419.644
"BDGS3",45975680.229
"BDGS4",39106678.772
"BDGS5",44501279.014
"BMXS1",37409811.291
"BMXS2",28482832.098
"BMXS3",30639704.781
"BMXS4",27364086.722
"BMXS5",25880438.258
"BX1",20225286.02
"BX2",25007442.351
"BX3",30829418.229
"BX4",27556641.09
"BX5",13906308.363
"CBL1",62540945.337
"CBL2",48613752.436
"CBL3",70939602.382
"CBL4",48930888.854
"CBL5",54836619.984
"CBS1",28381128.064
"CBS2",18554018.139
"CBS3",30282729.908
"CBS4",13605726.949
"CBS5",23850027.169
"DHS1",56566636.47
"DHS2",63030049.632
"DHS3",34260156.251
"DHS4",44863143.309
"DHS5",47111957.588
"DLS1",16184303.13
"DLS2",14195584.599
"DLS3",16441305.345
"DLS4",15855060.167
"DLS5",12259320.816
"DMS1",46439072.238
"DMS2",62517824.689
"DMS3",61333883.456
"DMS4",57242543.34
"DMS5",55604021.02
"DYS1",30466265.382
"DYS2",22244693.462
"DYS3",24960436.473
"DYS4",16186048.848
"DYS5",14821075.916
"EMS1",38356328.004
"EMS2",15644191.225
"EMS3",16880789.435
"EMS4",21415377.736
"EMS5",26050585.786
"GH1",23393991.285
"GH2",40372918.175
"GH3",26023296.679
"GH4",33597238.46
"GH5",31212656.732
"GTS1",33489077.854
"GTS2",24884110.726
"GTS3",27554741.158
"GTS4",24431172.957
"GTS5",39572259.271
"HG1",33396068.521
"HG2",29471952.919
"HG3",32665009.904
"HG4",30503683.189
"HG5",26831592.197
"HSD1",59344467.736
"HSD2",66028208.819
"HSD3",62207334.722
"HSD4",47678747.646
"HSD5",59612662.776
"JGS1",15071289.266
"JGS2",15549740.027
"JGS3",14699846.965
"JGS4",14192990.634
"JGS5",15493065.735
"JX1",20186354.811
"JX2",31663198.518
"JX3",30136511.834
"JX4",24692773.365
"JX5",29335711.694
"LS1",15343723.097
"LS2",14338062.38
"LS3",28470840.332
"LS4",51826444.892
"LS5",67008127.294
"LSL1",18750340.079
"LSL2",18193380.393
"LSL3",24613913.295
"LSL4",29120632.271
"LSL5",21152670.224
"LUS1",14723648.811
"LUS2",38643194.954
"LUS3",52741452.787
"LUS4",56446100.9
"LUS5",57804552.064
"MAL1",43535510.767
"MAL2",19678959.99
"MAL3",26142685.571
"MAL4",24746587.361
"MAL5",28938345.547
"MUL1",38573586.998
"MUL2",49711382.923
"MUL3",44473651.458
"MUL4",52659524.536
"MUL5",44310999.408
"NBH10",52607389.795
"NBH1",74008866.31
"NBH2",55244951.304
"NBH3",83505176.916
"NBH4",73930483.847
"NBH5",49954782.366
"NBH6",27373814.049
"NBH7",48642524.07
"NBH8",30599894.873
"NBH9",71847627.532
"NG1",50788314.581
"NG2",23587401.399
"NG3",51884269.581
"NG4",66730333.075
"NG5",52953587.315
"PD1",34110532.909
"PD2",52990384.691
"PD3",50557143.993
"PD4",24622834.946
"PD5",35657833.276
"PE1",72643707.02
"PE2",61873642.567
"PE3",87041471.922
"PE4",47783153.781
"PE5",42294898.378
"SNJ1",17017096.471
"SNJ2",9265929.084
"SNJ3",13883155.113
"SNJ4",18318297.789
"SNJ5",29399418.11
"TMS1",17325046.884
"TMS2",15249833.367
"TMS3",52867688.295
"TMS4",27424373.215
"TMS5",25808491.628
"TTS1",29541659.599
"TTS2",20527174.889
"TTS3",26866546.173
"TTS4",14412128.212
"TTS5",19775213.714
"WL1",26032528.258
"WL2",13396996.389
"WL3",19270644.212
"WL4",24806247.967
"WL5",19044770.734
"WYL1",21190137.313
"WYL2",38222176.255
"WYL3",26655988.632
"WYL4",53597546.419
"WYL5",18750420.744
"XSBN10",41359396.738
"XSBN1",34908154.309
"XSBN2",56390446.501
"XSBN3",46898519.431
"XSBN4",55293196.69
"XSBN5",63652558.289
"XSBN6",19579561.63
"XSBN7",15534253.834
"XSBN8",45556291.006
"XSBN9",28541470.028
"YLXS1",28504479.126
"YLXS2",22150787.508
"YLXS3",19929728.131
"YLXS4",25709441.501
"YLXS5",22973092.131
